YAL012W	14
YDR050C	124
YLR197W	8
YMR205C	17
YPR041W	6
YGR148C	27
YER131W	24
YPL249C-A	35
YDL184C	192
YLR244C	5
YGL037C	5
YLR048W	44
YHR007C	11
YGR240C	19
YDR461W	31
YPR145W	9
YDR099W	12
YBR121C	11
YPR052C	5
YBL027W	36
YKL096W-A	67
YFL045C	20
YGL105W	13
YEL051W	7
YNL064C	13
YNL031C	35
YGL245W	18
YDR450W	38
YOR312C	33
YKR057W	45
YIL018W	39
YLR447C	7
YCR012W	172
YLR325C	74
YGL026C	7
YPR074C	20
YKL156W	22
YNL010W	9
YNL255C	15
YGR118W	28
YGR214W	29
YLR175W	7
YOL120C	66
YGR279C	26
YMR143W	42
YML028W	61
YDR064W	92
YHR183W	14
YMR202W	7
YLR043C	24
YHR141C	15
YLR355C	43
YKL006W	24
YNL135C	21
YGL147C	38
YLR153C	7
YMR305C	6
YLR300W	11
YNL145W	19
YBR191W	43
YKL056C	67
YGL008C	75
YDR086C	14
YHR072W-A	9
YDL192W	22
YLR029C	68
YFL039C	52
YOR210W	7
YEL017C-A	27
YIL133C	29
YLR367W	13
YDR524C-B	78
YLR075W	96
YIL052C	38
YNL067W	12
YPL271W	6
YBR109C	8
YLR061W	52
YMR260C	15
YOR361C	5
YNL069C	65
YKR042W	26
YPL019C	6
YER110C	7
YNL208W	8
YER091C	11
YBR189W	54
YBR011C	29
YHR203C	20
YPL061W	37
YDR454C	7
YDR077W	54
YPL131W	74
YMR146C	6
YDR226W	29
YCL037C	7
YNL079C	7
YJR105W	13
YER009W	21
YJR145C	20
YDL125C	7
YML026C	34
YMR079W	7
YOR020C	18
YLR179C	5
YGR027C	65
YGR285C	16
YGR155W	14
YER177W	20
YDR500C	30
YLR027C	9
YBR031W	9
YLR448W	44
YPR036W	5
YIL041W	6
YDL055C	47
YGL202W	6
YBR009C	11
YLR167W	101
YLR293C	26
YMR318C	6
YDL067C	6
YKL060C	244
YBL030C	21
YPL048W	9
YLR388W	32
YHL015W	68
YKL182W	15
YPL037C	50
YJL191W	10
YOR198C	7
YKL152C	162
YKL164C	18
YFL022C	5
YHL033C	24
YDL081C	71
YDR155C	72
YPR149W	21
YHR020W	8
YBR084C-A	30
YOR096W	55
YNL178W	84
YGR060W	14
YAL038W	164
YML126C	7
YMR142C	45
YMR203W	5
YGL031C	39
YGR085C	12
YJR148W	5
YLR354C	16
YDR225W	23
YNL134C	6
YDR172W	6
YLR301W	8
YGL135W	7
YLR262C-A	18
YER023W	5
YMR122W-A	26
YDL185W	16
YLR287C-A	37
YJR123W	96
YIL051C	28
YKL180W	45
YLR264W	38
YLR180W	13
YMR242C	32
YPL237W	7
YGR282C	35
YOR335C	7
YPL028W	9
YKR094C	23
YJR016C	14
YOL039W	89
YDL100C	6
YGR185C	7
YJL189W	60
YLR216C	6
YLL026W	8
YEL026W	15
YLL050C	31
YLR286C	15
YNL016W	8
YIL123W	11
YKL117W	10
YOR310C	6
YOR063W	90
YML022W	6
YML058W	11
YBR221C	10
YOR369C	87
YOL127W	91
YMR186W	48
YCR028C-A	6
YBR025C	16
YPL240C	10
YBR127C	15
YLR185W	41
YOR007C	9
YDL014W	14
YMR217W	11
YCR024C-A	18
YOR230W	8
YPL154C	10
YHR019C	13
YAL003W	58
YBL076C	10
YBR067C	14
YJL080C	6
YIL078W	12
YER120W	5
YER074W	21
YDR381W	9
YGL103W	90
YGL009C	14
YER056C-A	37
YBL092W	84
YGR192C	246
YJL158C	38
YLR192C	7
YKL081W	37
YLR056W	7
YDL229W	21
YGL225W	8
YDR154C	62
YLR333C	46
YLR432W	6
YDR353W	9
YGR020C	6
YPR102C	16
YHR193C	36
YOR332W	11
YBR010W	32
YBL099W	18
YPL090C	7
YGR086C	13
YPL106C	29
YDR432W	7
YOL143C	6
YLR109W	112
YGR094W	9
YPR165W	8
YDL126C	12
YGR124W	12
YMR307W	26
YNL244C	10
YML078W	6
YDL208W	7
YKL035W	5
YOR204W	12
YFL037W	6
YPR043W	41
YDR382W	64
YGR254W	14
YJR139C	16
YBR162C	12
YOR234C	22
YDL066W	7
YJL012C	7
YEL034W	45
YHL001W	9
YDR134C	7
YGR180C	23
YPL220W	6
YJL190C	65
YPL160W	8
YLR372W	6
YDR032C	9
YBR118W	17
YDR433W	6
YPR132W	42
YCR053W	10
YER072W	16
YER057C	6
YOR122C	18
YBR196C	40
YOL040C	93
YMR058W	7
YJL034W	17
YCR088W	5
YHL034C	7
YML024W	41
YGR034W	45
YJR077C	8
YDR276C	21
YPR133W-A	6
YDR158W	11
YMR116C	69
YDL084W	13
YHR128W	5
YGR106C	6
YOR182C	32
YIL069C	13
YAL044C	6
YOR153W	9
YLR110C	292
YPL143W	45
YEL071W	6
YDR025W	36
YPR163C	8
YBL003C	28
YDR224C	20
YHR005C-A	6
YJR045C	28
YBR106W	18
YHR208W	13
YLR390W-A	14
YJL136C	44
YMR194W	19
YDL133C-A	148
YEL027W	37
YOL086C	188
YER117W	38
YBR048W	31
YNL162W	13
YLR406C	27
YDR037W	11
YER178W	14
YPL218W	9
YNL055C	33
YNL030W	15
YFR032C-A	62
YNL071W	7
YOR276W	5
YJR007W	6
YDL083C	43
YJR094W-A	54
YKL216W	10
YLL045C	42
YGR234W	16
YOR136W	7
YGL123W	64
YCL050C	5
YER043C	24
YBR143C	6
YJL026W	11
YNL301C	6
YMR108W	6
YBR286W	14
YMR083W	9
YDR002W	18
YLR340W	82
YDL137W	9
YNL302C	35
YDR233C	12
YHR162W	5
YER025W	6
YNL096C	25
YHR068W	6
YER165W	27
YJR121W	17
YDR502C	8
YGL148W	6
YIL148W	39
YDL130W	64
YLR259C	23
YBR249C	16
YBL087C	28
YDL075W	56
YPL079W	26
YDL061C	32
YLR441C	40
YEL054C	38
YDR447C	27
YJR009C	34
YLL024C	29
YDR023W	12
YJL159W	60
YOR375C	30
YDR033W	23
YNL209W	18
YOR293W	44
YML056C	7
YMR072W	6
YHR026W	7
YER036C	6
YFR031C-A	23
YGR037C	18
YAL035W	5
YGR209C	19
YOL121C	26
YGL076C	19
YML106W	7
YML074C	5
YCR031C	56
YPR080W	17
YDR418W	43
YPR069C	8
YDR471W	35
YMR251W-A	51
YFR044C	9
YBR078W	43
YLR150W	42
YLR344W	31
YEL046C	7
YPR035W	25
YDL022W	5
YLR044C	257
YLL018C	10
YBL002W	27
YML008C	8
YDR174W	6
YOR298C-A	17
YML123C	21
YML073C	50
YAL005C	13
YPL004C	7
YDR429C	6
YHR174W	174
YCL009C	6
YFL038C	5
YBR082C	11
YJL167W	8
YGR175C	10
YGL054C	8
YHR064C	15
YLR058C	16
YOR247W	5
YDR510W	10
YIL053W	28
YLR249W	72
YPL231W	12
YHR021C	71
YDL082W	27
YGL253W	28
YJL177W	19
YMR230W	26
YOL139C	13
YPL081W	12
YGL030W	61
YER102W	10
YHR179W	18
YKL210W	6
YGL189C	58
YPR036W-A	16
YHR010W	61
YJR104C	42
YPR028W	10
YCL043C	18
YML063W	51
YLR304C	17
YBL072C	11
YOL109W	60
YOR027W	9
YHR039C-A	12
YBR181C	6
YNL131W	7
YOR167C	41
YGR159C	7
YOR383C	5
